estado,POB1,2006,2007,2008,2009,2010,2011,2012,2013,2014,id
Aguascalientes,1184996,0,25,7,20,18,30,14,15,62,0
Baja California,3155070,0,7,25,11,8,19,128,177,381,1
Baja California Sur,637026,0,0,2,1,3,2,3,8,3,2
Campeche,822441,0,0,5,0,1,0,0,10,59,3
Coahuila de Zaragoza,2748391,1,55,102,117,227,258,136,233,103,4
Colima,650555,0,2,1,1,11,23,43,61,37,5
Chiapas,4796580,0,0,0,5,6,9,12,31,41,6
Chihuahua,3406465,13,86,94,108,160,219,143,172,120,7
Distrito Federal,8851080,0,1,1,59,31,184,124,145,20,8
Durango,1632934,2,13,19,39,151,61,45,21,19,9
Guanajuato,5486372,5,89,56,88,41,129,108,190,371,10
Guerrero,3388768,3,16,15,8,18,38,48,114,248,11
Hidalgo,2665018,3,10,17,28,27,97,34,16,2,12
Jalisco,7350682,8,60,66,94,169,338,321,624,424,13
México,15175862,18,95,54,115,95,183,168,238,425,14
Michoacán de Ocampo,4351037,3,18,33,67,96,117,171,300,174,15
Morelos,1777227,0,0,0,1,2,4,5,27,37,16
Nayarit,1084979,0,0,1,4,0,4,0,3,0,17
Nuevo León,4653458,2,64,41,67,283,338,157,76,103,18
Oaxaca,3801962,1,1,6,5,13,20,5,40,20,19
Puebla,5779829,0,3,29,44,39,63,83,140,370,20
Querétaro,1827937,0,4,0,6,22,16,33,57,89,21
Quintana Roo,1325578,1,6,17,14,7,9,5,37,51,22
San Luis Potosí,2585518,0,0,0,1,7,28,2,12,0,23
Sinaloa,2767761,3,51,76,52,203,212,190,334,263,24
Sonora,2662480,1,14,38,47,57,64,127,174,247,25
Tabasco,2238603,0,4,4,13,6,4,5,49,80,26
Tamaulipas,3268554,15,76,66,207,901,1227,1071,761,831,27
Tlaxcala,1169936,0,0,0,2,0,1,2,6,3,28
Veracruz de Ignacio de la Llave,7643194,2,3,2,1,22,59,45,115,211,29
Yucatán,1955577,0,1,1,2,4,6,10,30,29,30
Zacatecas,1490668,0,1,6,24,30,34,16,46,32,31
